iter	Passed	Remaining
447	1131	1394
448	1133	1390
449	1135	1387
450	1137	1384
451	1140	1382
452	1142	1379
453	1150	1383
454	1152	1379
455	1153	1376
456	1155	1372
457	1156	1369
458	1159	1366
459	1163	1365
460	1165	1362
461	1167	1359
462	1168	1355
463	1170	1352
464	1171	1348
465	1177	1349
466	1180	1347
467	1182	1344
468	1185	1341
469	1187	1338
470	1192	1339
471	1194	1336
472	1198	1335
473	1201	1333
474	1203	1330
475	1210	1332
476	1212	1329
477	1216	1328
478	1218	1325
479	1226	1328
480	1229	1326
481	1232	1324
482	1239	1326
483	1242	1324
484	1245	1322
485	1247	1319
486	1249	1316
487	1251	1312
488	1254	1310
489	1256	1307
490	1258	1304
491	1260	1301
492	1262	1298
493	1270	1301
494	1272	1297
495	1273	1294
496	1275	1290
497	1277	1287
498	1281	1286
499	1284	1284
500	1286	1281
501	1289	1279
502	1291	1276
503	1293	1273
504	1302	1276
505	1304	1273
506	1306	1270
507	1309	1268
508	1315	1269
509	1317	1265
510	1319	1262
511	1320	1258
512	1322	1255
513	1324	1252
514	1330	1252
515	1332	1249
516	1334	1246
517	1336	1243
518	1338	1240
519	1340	1236
520	1345	1236
521	1347	1233
522	1348	1230
523	1350	1226
524	1352	1223
525	1354	1220
526	1355	1216
527	1358	1214
528	1360	1211
529	1362	1207
530	1363	1204
531	1365	1201
532	1367	1198
533	1372	1197
534	1374	1194
535	1375	1190
536	1378	1188
537	1379	1184
538	1381	1181
539	1382	1178
540	1388	1177
541	1389	1174
542	1391	1170
543	1392	1167
544	1394	1164
545	1396	1160
546	1397	1157
547	1401	1155
548	1403	1152
549	1404	1149
550	1406	1145
551	1407	1142
552	1409	1139
553	1410	1135
554	1412	1132
555	1417	1131
556	1419	1128
557	1420	1125
558	1422	1122
559	1423	1118
560	1425	1115
561	1426	1112
562	1428	1108
563	1432	1107
564	1433	1103
565	1435	1100
566	1437	1097
567	1439	1095
568	1441	1091
569	1447	1091
570	1449	1088
571	1450	1085
572	1452	1082
573	1453	1078
574	1455	1075
575	1457	1072
576	1458	1069
577	1460	1066
578	1462	1063
579	1464	1060
580	1466	1057
581	1467	1054
582	1469	1050
583	1470	1047
584	1476	1047
585	1478	1044
586	1480	1041
587	1483	1039
588	1484	1036
589	1486	1032
590	1490	1031
591	1491	1028
592	1493	1025
593	1494	1021
594	1496	1018
595	1497	1015
596	1499	1012
597	1500	1008
598	1505	1008
599	1507	1004
600	1509	1001
601	1510	998
602	1511	995
603	1513	992
604	1514	989
605	1516	985
606	1521	984
607	1522	981
608	1524	978
609	1525	975
610	1527	972
611	1528	969
612	1530	965
613	1531	962
614	1537	962
615	1539	959
616	1540	956
617	1542	953
618	1543	950
619	1545	947
620	1546	944
621	1551	942
622	1553	939
623	1554	936
624	1556	933
625	1557	930
626	1559	927
627	1560	924
628	1566	924
629	1569	921
630	1574	920
631	1577	918
632	1582	917
633	1584	914
634	1586	911
635	1588	909
636	1590	906
637	1592	903
638	1597	902
639	1598	899
640	1600	896
641	1601	893
642	1603	890
643	1604	887
644	1606	884
645	1607	881
646	1612	879
647	1614	876
648	1615	873
649	1617	870
650	1618	867
651	1620	864
652	1622	862
653	1626	860
654	1628	857
655	1630	854
656	1631	851
657	1633	848
658	1634	846
659	1636	843
660	1638	840
661	1642	838
662	1644	836
663	1646	833
664	1648	830
665	1649	827
666	1651	824
667	1653	821
668	1659	820
669	1661	818
670	1664	816
671	1666	813
672	1667	810
673	1671	808
674	1674	806
675	1676	803
676	1678	800
677	1679	797
678	1681	794
679	1683	792
680	1686	790
681	1688	787
682	1690	784
683	1691	781
684	1693	778
685	1694	775
686	1696	772
687	1698	770
688	1702	768
689	1704	765
690	1706	763
691	1714	763
692	1723	763
693	1725	760
694	1726	757
695	1728	754
696	1729	751
697	1734	750
698	1736	747
699	1738	744
700	1739	741
701	1740	739
702	1742	736
703	1743	733
704	1745	730
705	1749	728
706	1751	725
707	1753	723
708	1755	720
709	1757	717
710	1758	714
711	1762	713
712	1764	710
713	1766	707
714	1768	704
715	1769	701
716	1771	699
717	1773	696
718	1774	693
719	1780	692
720	1782	689
721	1783	686
722	1785	683
723	1786	681
724	1788	678
725	1789	675
726	1794	673
727	1796	671
728	1797	668
729	1799	665
730	1800	662
731	1802	659
732	1803	656
733	1805	654
734	1810	652
735	1812	649
736	1813	647
737	1815	644
